age,gender,member,nmovies,rating,verybad,bad,okay,good,verygood
42,M,yes,1,very good,0,0,0,0,1
65,F,yes,1,bad,0,1,0,0,0
46,M,yes,6,good,0,0,0,1,0
41,F,yes,5,very bad,1,0,0,0,0
18,M,yes,3,good,0,0,0,1,0
52,F,no,1,very good,0,0,0,0,1
69,M,yes,3,bad,0,1,0,0,0
55,F,yes,0,very good,0,0,0,0,1
13,M,yes,6,good,0,0,0,1,0
13,M,yes,6,good,0,0,0,1,0
15,F,no,6,good,0,0,0,1,0
20,F,yes,4,good,0,0,0,1,0
46,F,no,4,very good,0,0,0,0,1
71,M,yes,3,okay,0,0,1,0,0
48,F,yes,4,very good,0,0,0,0,1
37,F,yes,3,good,0,0,0,1,0
45,F,no,4,very bad,1,0,0,0,0
45,M,yes,3,bad,0,1,0,0,0
43,M,no,3,good,0,0,0,1,0
30,M,yes,1,okay,0,0,1,0,0
12,M,yes,3,very good,0,0,0,0,1
54,F,yes,5,bad,0,1,0,0,0
65,M,yes,5,bad,0,1,0,0,0
49,M,no,6,bad,0,1,0,0,0
72,M,no,0,very bad,1,0,0,0,0
14,F,yes,5,good,0,0,0,1,0
24,F,yes,0,good,0,0,0,1,0
50,M,yes,6,bad,0,1,0,0,0
40,F,yes,5,bad,0,1,0,0,0
58,M,yes,5,good,0,0,0,1,0
53,F,yes,6,bad,0,1,0,0,0
57,F,no,6,very good,0,0,0,0,1
46,F,yes,3,good,0,0,0,1,0
65,M,yes,0,bad,0,1,0,0,0
73,M,yes,5,okay,0,0,1,0,0
64,F,yes,5,good,0,0,0,1,0
27,F,yes,3,okay,0,0,1,0,0
20,F,yes,6,very good,0,0,0,0,1
71,F,no,4,good,0,0,0,1,0
24,M,yes,6,good,0,0,0,1,0
56,F,yes,4,good,0,0,0,1,0
46,M,no,1,okay,0,0,1,0,0
41,F,yes,0,very good,0,0,0,0,1
41,F,yes,6,good,0,0,0,1,0
61,F,yes,4,good,0,0,0,1,0
58,F,yes,4,very good,0,0,0,0,1
34,F,yes,2,bad,0,1,0,0,0
71,M,no,3,very good,0,0,0,0,1
66,M,yes,5,bad,0,1,0,0,0
69,M,yes,0,bad,0,1,0,0,0
27,F,no,2,okay,0,0,1,0,0
13,M,yes,0,good,0,0,0,1,0
70,F,yes,1,very good,0,0,0,0,1
52,M,no,4,good,0,0,0,1,0
21,M,yes,7,very good,0,0,0,0,1
29,F,yes,3,very good,0,0,0,0,1
28,F,yes,3,okay,0,0,1,0,0
53,F,yes,1,okay,0,0,1,0,0
69,M,yes,4,okay,0,0,1,0,0
68,M,no,3,bad,0,1,0,0,0
44,F,yes,4,okay,0,0,1,0,0
24,F,yes,7,very good,0,0,0,0,1
70,F,no,3,very bad,1,0,0,0,0
29,M,no,3,good,0,0,0,1,0
60,M,yes,5,okay,0,0,1,0,0
49,F,no,4,bad,0,1,0,0,0
12,M,no,0,very good,0,0,0,0,1
19,F,yes,5,very good,0,0,0,0,1
66,M,yes,3,very good,0,0,0,0,1
41,M,no,5,very good,0,0,0,0,1
31,F,yes,3,very good,0,0,0,0,1
68,F,no,5,very bad,1,0,0,0,0
32,M,no,5,okay,0,0,1,0,0
13,M,yes,0,very good,0,0,0,0,1
57,M,yes,5,okay,0,0,1,0,0
13,M,yes,5,very good,0,0,0,0,1
21,F,yes,2,good,0,0,0,1,0
66,M,yes,5,okay,0,0,1,0,0
63,F,yes,3,good,0,0,0,1,0
12,M,yes,0,very good,0,0,0,0,1
26,F,yes,0,okay,0,0,1,0,0
52,F,no,3,good,0,0,0,1,0
64,F,yes,1,okay,0,0,1,0,0
22,F,yes,1,good,0,0,0,1,0
54,F,yes,7,very bad,1,0,0,0,0
62,M,yes,3,good,0,0,0,1,0
58,F,no,3,good,0,0,0,1,0
64,M,yes,2,okay,0,0,1,0,0
39,M,no,0,good,0,0,0,1,0
27,F,yes,3,good,0,0,0,1,0
69,M,yes,3,very good,0,0,0,0,1
31,F,yes,1,okay,0,0,1,0,0
23,M,yes,3,very good,0,0,0,0,1
54,M,yes,6,good,0,0,0,1,0
63,F,yes,2,bad,0,1,0,0,0
62,F,no,0,bad,0,1,0,0,0
46,M,yes,5,good,0,0,0,1,0
52,M,no,3,okay,0,0,1,0,0
42,F,no,5,very bad,1,0,0,0,0
54,F,no,5,very bad,1,0,0,0,0
21,F,yes,0,very good,0,0,0,0,1
16,M,yes,3,very good,0,0,0,0,1
53,M,no,2,good,0,0,0,1,0
25,F,yes,0,very good,0,0,0,0,1
19,F,no,0,good,0,0,0,1,0
27,M,yes,1,good,0,0,0,1,0
56,M,yes,6,very good,0,0,0,0,1
44,F,no,2,okay,0,0,1,0,0
55,F,yes,6,bad,0,1,0,0,0
27,M,no,2,okay,0,0,1,0,0
40,M,yes,4,bad,0,1,0,0,0
19,M,no,5,very good,0,0,0,0,1
59,F,yes,1,good,0,0,0,1,0
23,M,yes,7,very good,0,0,0,0,1
54,M,no,1,very good,0,0,0,0,1
19,F,no,6,very good,0,0,0,0,1
25,M,yes,6,good,0,0,0,1,0
37,F,no,3,okay,0,0,1,0,0
31,F,no,6,very good,0,0,0,0,1
34,M,yes,6,good,0,0,0,1,0
40,F,yes,6,okay,0,0,1,0,0
50,M,yes,6,very good,0,0,0,0,1
